"year","id_country","fire_type","N","N_km","my_mean","year.y","month"
"201605","brazil","new",63,13.5234954528213,-2.1408691550249,"2016","05"
"201605","brazil","cumu",650496,139634.598382197,-2.1408691550249,"2016","05"
"201606","brazil","cumu",650593,139655.420272021,-1.98038571963616,"2016","06"
"201606","brazil","new",97,20.8218898241851,-1.98038571963616,"2016","06"
"201607","brazil","new",1488,319.41208307616,-1.87841542425141,"2016","07"
"201607","brazil","cumu",652081,139974.832355098,-1.87841542425141,"2016","07"
"201608","brazil","new",8685,1864.3104445675,-1.87444189473394,"2016","08"
"201608","brazil","cumu",660766,141839.142799665,-1.87444189473394,"2016","08"
"201609","brazil","new",8001,1717.4839225083,-1.67819463577839,"2016","09"
"201609","brazil","cumu",668767,143556.626722173,-1.67819463577839,"2016","09"
"201610","brazil","new",1742,373.935382203407,-1.58773836569251,"2016","10"
"201610","brazil","cumu",670509,143930.562104377,-1.58773836569251,"2016","10"
"201611","brazil","cumu",671318,144104.220958684,-1.51288182651539,"2016","11"
"201611","brazil","new",809,173.658854306864,-1.51288182651539,"2016","11"
"201612","brazil","cumu",671712,144188.796469928,-1.41230788376946,"2016","12"
"201612","brazil","new",394,84.5755112446283,-1.41230788376946,"2016","12"
"201701","brazil","new",46,9.87429826713934,-1.08530257275401,"2017","01"
"201701","brazil","cumu",671758,144198.670768195,-1.08530257275401,"2017","01"
"201702","brazil","cumu",671822,144212.408922306,-0.683270099080164,"2017","02"
"201702","brazil","new",64,13.7381541108026,-0.683270099080164,"2017","02"
"201703","brazil","cumu",671881,144225.073783127,-0.534162935565884,"2017","03"
"201703","brazil","new",59,12.6648608208961,-0.534162935565884,"2017","03"
"201704","brazil","new",13,2.79056255375677,-0.444947145910598,"2017","04"
"201704","brazil","cumu",671894,144227.864345681,-0.444947145910598,"2017","04"
"201705","brazil","new",92,19.7485965342787,-0.511028685982963,"2017","05"
"201705","brazil","cumu",671986,144247.612942215,-0.511028685982963,"2017","05"
